,city,timezone,date_time,league_name,home_team,home_team_name,home_id,home_team_city,home_team_country,home_capacity,away_team,away_id,away_team_city,away_team_country,iata_h,iata_a,icao_h,icao_a,airport_city_h,airport_city_a,lat_h,lon_h,lat_a,lon_a,Average_flights,number_of_flights,Air France,Lufthansa,British Airways
4,Warszawa,UTC,2020-08-18 17:00:00,UEFA Champions League,Legia Warszawa,Legia Warszawa,339,Warszawa,Poland,31103,Linfield,583,Belfast,Northern-Ireland,WAW,BHD,EPWA,EGAC,Warsaw,Belfast,52.165749,20.967119,54.61805,-5.8725,4.98,5,2.0,0.0,2.0
5,Brest,UTC,2020-08-18 18:00:00,UEFA Champions League,Dinamo Brest,Dinamo Brest,386,Brest,Belarus,10169,FC Astana,562,Nur-Sultan,Kazakhstan,BQT,ALA,UMBB,UAAA,Brest,Almaty,52.116669,23.883333,43.35207,77.040497,3.43,3,1.0,0.0,0.0
6,Glasgow,UTC,2020-08-18 18:45:00,UEFA Champions League,Celtic,Celtic,247,Glasgow,Scotland,60832,KR Reykjavik,271,Reykjavík,Iceland,GGW,KEF,KGGW,BIKF,Glasgow,Reykjavik,48.212776,-106.615555,63.985001,-22.605499,9.33,12,1.0,2.0,1.0
7,Beograd,UTC,2020-08-18 19:00:00,UEFA Champions League,FK Crvena Zvezda,FK Crvena Zvezda,598,Beograd,Serbia,51862,Europa,10125,Gibraltar,Gibraltar,BEG,GIB,LYBE,LXGB,Belgrade,Gibraltar,44.818439,20.30913,36.151211,-5.34966,4.03,6,0.0,2.0,4.0
8,Yerevan,UTC,2020-08-19 15:00:00,UEFA Champions League,Ararat-Armenia,Ararat-Armenia,3683,Yerevan,Armenia,1500,Omonia Nicosia,3402,Levkosía,Cyprus,EVN,LCA,UDYZ,LCLK,Yerevan,Larnaca,40.14727,44.395882,34.875111,33.624851,4.08,5,0.0,0.0,0.0
9,Molde,UTC,2020-08-19 16:00:00,UEFA Champions League,Molde,Molde,329,Molde,Norway,11800,KuPS,1165,Kuopio,Finland,MOL,KUO,ENML,EFKU,Molde,Kuopio,62.74472,7.2625,63.007149,27.79775,2.28,2,1.0,0.0,1.0
10,Tallinn,UTC,2020-08-19 16:30:00,UEFA Champions League,Flora Tallinn,Flora Tallinn,687,Tallinn,Estonia,14405,Suduva Marijampole,612,Marijampolė,Lithuania,TLL,VNO,EETN,EYVI,Tallinn,Vilnius,59.413311,24.83284,54.63707,25.2878,4.36,5,2.0,0.0,0.0
11,Budapest,UTC,2020-08-19 17:00:00,UEFA Champions League,Ferencvarosi TC,Ferencvarosi TC,651,Budapest,Hungary,23698,Djurgardens IF,364,Stockholm,Sweden,QEB,ARN,LHBS,ESSA,Budapest,Stockholm,47.450832,18.980556,59.653545,17.939816,4.84,5,1.0,2.0,1.0
12,Tel-Aviv,UTC,2020-08-19 17:00:00,UEFA Champions League,Maccabi Tel Aviv,Maccabi Tel Aviv,604,Tel-Aviv,Israel,29400,Riga,10124,Riga,Latvia,TLV,RIX,LLBG,EVRA,Tel Aviv,Riga,32.011379,34.886662,56.923611,23.971109,11.11,11,1.0,0.0,3.0
13,Tbilisi,UTC,2020-08-19 17:00:00,UEFA Champions League,Dinamo Tbilisi,Dinamo Tbilisi,2262,Tbilisi,Georgia,54202,Tirana,694,Tirana,Albania,TBS,TIA,UGTB,LATI,Tbilisi,Tirana,41.669159,44.95472,41.414742,19.72056,7.3,7,1.0,1.0,0.0
